ID,country,genderF,age,education,Married,CRT_score,CRT_intuitive,Dualism,EQ,IDAQ,Paranormal,CRED,Sec_financial,Sec_physical,Sec_social,Sec_inequality,Sec_trust,Teleology,God,now,raised,religious,parents_relig,church,pray,church12,belief_type,size_place,Per_religAff,Num_child,Net,Relig_comp,Denom_type
10001,1,0,54,4,1,0,3,4.222222222,4.454545455,2.666666667,3.6,1,4.75,3.666666667,1,6.333333333,2.666666667,5.928571429,3,3,3,2,1,1,1,1,dontknow,3,7.37,1,4,1.333333333,None
10002,1,0,30,6,1,2,1,3.666666667,3.227272727,1,3.266666667,1,3.75,3.333333333,1.333333333,6.5,4.333333333,6.5,3.333333333,3,1,4,4,2,1,4,dontknow,2,10.73,2,5,2.333333333,None
10003,1,1,51,5,2,2,0,4.333333333,4.227272727,1.866666667,2,1,6.75,2.666666667,1.333333333,6.666666667,2.333333333,3.285714286,3.333333333,3,3,1,1,1,1,1,within,3,22.61,2,3,1,None
10004,1,0,60,4,1,0,1,5.222222222,4.090909091,1.466666667,2.466666667,1,6.25,4,1,7,3.666666667,3.571428571,2,3,3,2,3,1,1,1,nothing,2,12.59,1,3,1.333333333,None
10005,1,0,43,4,1,2,1,4.333333333,3.863636364,2.133333333,3.2,NA,6.5,5.333333333,4.333333333,5.666666667,3.666666667,4.285714286,3.333333333,3,3,2,1,2,2,2,dontknow,3,8.96,2,5,2,None
10006,1,1,29,5,3,0,3,4,5.136363636,4.4,3.8,1,4.25,3.666666667,1.666666667,4,3.333333333,4.928571429,3.666666667,2,3,1,1,1,1,3,spirit_lifeforce,4,12.35,2,3,1,None
10007,1,0,48,4,1,1,0,3.555555556,4.5,1,2.533333333,2.4,4.25,2.666666667,5,6.333333333,3.333333333,1.214285714,4.333333333,1,1,4,6,2,2,6,spirit_lifeforce,1,50.35,3,4,2.666666667,Catholic
10008,1,1,53,3,2,0,1,4.111111111,5.863636364,3.133333333,2.333333333,2.2,2.25,2,2.666666667,3,5.333333333,3.857142857,2.333333333,3,3,4,1,3,2,1,spirit_lifeforce,4,11.3,1,4,3,None
10009,1,1,59,6,1,1,2,4.222222222,5.181818182,2.6,3,3.4,3,2,3,4.666666667,5.666666667,5.214285714,4,3,3,2,5,3,1,1,spirit_lifeforce,2,8.18,1,3,2,None
10010,1,0,30,4,1,0,3,3.555555556,4.363636364,2.2,2.066666667,1.6,3.5,5.333333333,1.333333333,5.333333333,3.333333333,4.142857143,2.666666667,3,3,1,2,2,1,1,within,3,15.64,3,6,1.333333333,None
10011,1,0,45,10,1,3,0,4.888888889,5,1.4,2.933333333,5.4,4.5,2.333333333,2.666666667,3,4.333333333,2.214285714,6.666666667,1,1,5,6,2,6,5,spirit_lifeforce,3,21.47,4,8,4.333333333,Catholic
10012,1,1,47,6,1,1,2,4.333333333,3.590909091,1.4,2.533333333,2,1.75,2.666666667,6.666666667,5.666666667,6,4.214285714,2,3,3,1,1,1,1,1,spirit_lifeforce,3,12.82,2,3,1,None
10013,1,1,54,5,1,3,0,3.888888889,4.590909091,1.866666667,2.4,1.4,5,6.333333333,2,5.333333333,3,5.142857143,1.666666667,3,3,1,1,1,2,1,nothing,4,6.78,1,4,1.333333333,None
10014,1,1,57,3,2,0,3,4.222222222,4.318181818,NA,4,1.4,7,1.666666667,5,6,2,5.5,4.666666667,2,1,4,4,2,4,6,spirit_lifeforce,2,20.77,1,1,3.333333333,None
10015,1,1,46,6,2,1,2,4.444444444,4.227272727,1.8,2.866666667,1,6.75,3.333333333,2,6,3.333333333,3.214285714,3,3,3,1,1,1,1,1,nothing,1,10.48,3,3,1,None
10016,1,0,33,6,2,2,1,4.444444444,4.272727273,1.933333333,2.642857143,1,5,2.666666667,2,5.333333333,4,3.642857143,2.333333333,3,3,1,1,1,1,1,dontknow,2,4.02,2,5,1,None
10017,1,0,50,4,1,1,1,4.111111111,4.227272727,4.066666667,2.266666667,3.4,6.25,4.666666667,2,6,4.666666667,3.714285714,4.333333333,2,2,3,4,2,2,2,spirit_lifeforce,3,17.12,2,3,2.333333333,None
10018,1,0,54,5,1,2,0,3.222222222,4.181818182,1.933333333,1.4,1,4,4.333333333,2.666666667,4.333333333,3.333333333,2.571428571,3.333333333,3,3,2,1,1,1,1,spirit_lifeforce,4,5.01,2,5,1.333333333,None
10019,1,1,47,5,1,0,2,4.666666667,4.954545455,NA,4.333333333,6.6,6,5.333333333,1.333333333,6.666666667,5.5,4,7,2,1,3,7,4,4,5,within,2,40.28,1,3,3.666666667,Catholic
10020,1,1,50,3,2,3,0,3.888888889,4.954545455,1.6,3.333333333,NA,4.25,5.333333333,1,6.666666667,2,3.071428571,3,3,3,2,NA,1,1,1,nothing,5,11.91,1,3,1.333333333,None
10021,1,1,51,5,2,1,1,4.222222222,5.727272727,2,3.133333333,5,3.25,4,2,6.666666667,4.333333333,3.785714286,6,1,1,6,5,5,7,5,god_personal,3,30.21,2,4,6,Catholic
10022,1,1,60,6,1,2,1,4,4.090909091,1,2,NA,3.25,4.333333333,4.333333333,4,4.666666667,6,1.333333333,3,3,1,1,1,1,1,nothing,3,9,1,2,1,None
10023,1,1,58,10,1,1,2,NA,2.363636364,1.333333333,1.4,1.6,4.25,3.666666667,2.666666667,3.333333333,3,NA,1,2,2,3,3,1,1,1,nothing,5,16.8,1,4,1.666666667,None
10024,1,1,25,6,3,1,1,1,3.318181818,1.733333333,1.4,1,4,4,1.666666667,5.333333333,3,4.142857143,2.666666667,3,3,1,1,1,1,1,nothing,3,10.74,1,1,1,None
10025,1,1,56,4,2,0,2,4.222222222,5.136363636,5.285714286,5.066666667,2.2,7,7,2.666666667,6.666666667,2.666666667,5.928571429,4,2,3,3,1,4,3,1,spirit_lifeforce,3,3.82,2,3,3.333333333,None
10026,1,1,56,4,2,1,2,4.111111111,4.909090909,2.466666667,3.066666667,1.4,6.75,4.666666667,3.333333333,6,3.666666667,2.642857143,2,3,3,1,1,1,3,1,dontknow,3,9.65,1,4,1.666666667,None
10027,1,1,60,4,2,0,2,3.444444444,4.090909091,2.266666667,3.133333333,1,3.5,3.333333333,3.333333333,4.666666667,3.666666667,4.857142857,3.666666667,3,3,1,1,2,1,1,spirit_lifeforce,2,6.37,1,4,1.333333333,None
10028,1,1,64,3,1,1,1,3.777777778,4.636363636,3.8,3.8,5.2,4,3.666666667,4,6.333333333,4,5.785714286,4.333333333,1,1,5,6,2,4,5,spirit_lifeforce,4,15.73,1,3,3.666666667,Catholic
10029,1,1,57,3,1,0,1,4,4.227272727,2.636363636,3.533333333,1,6,4,2,5.666666667,5,5,1,3,3,1,1,1,1,1,dontknow,3,12.19,3,1,1,None
10030,1,0,47,6,1,1,2,4.222222222,5.318181818,1.6,3.533333333,1,4,3.333333333,3.666666667,6.666666667,4,5.785714286,4,3,3,2,1,1,1,1,spirit_lifeforce,5,9.01,3,7,1.333333333,None
10031,1,0,40,6,1,0,2,3.444444444,4.590909091,3,1.933333333,2.2,3.75,3.666666667,4,5.333333333,3,3.857142857,4.666666667,1,3,1,1,1,1,1,within,4,18.88,3,5,1,None
10032,1,1,40,4,2,1,2,4.666666667,4.954545455,2.066666667,4.466666667,5,4,4,2.666666667,5.666666667,4.666666667,5.214285714,4.333333333,3,1,2,5,1,1,1,spirit_lifeforce,3,10.34,3,4,1.333333333,None
10033,1,0,55,10,1,1,1,4,4.454545455,1.066666667,4,1,4.75,3.666666667,1,7,4,5.285714286,1,3,3,1,1,1,1,1,nothing,5,11.55,2,7,1,None
